Current_State,Recommended_Action,Predicted_Next_State,Reward,Projected_Energy_Saving (%),Confidence (%),Confidence_Level
0.7-0.3-0.7,Check Equipment,"(0.5, 0.3, 0.7)",0.2,28.57,100.0,High
0.7-0.4-0.3,Do Nothing,"(0.7, 0.4, 0.3)",0.0,0.0,0.0,Low
0.7-0.4-0.4,Reduce Lighting,"(0.6, 0.4, 0.4)",0.1,14.29,100.0,High
0.7-0.4-0.6,Do Nothing,"(0.7, 0.4, 0.6)",0.0,0.0,0.0,Low
0.7-0.4-0.7,Reduce Lighting,"(0.6, 0.4, 0.7)",0.1,14.29,100.0,High
0.7-0.5-0.4,Reduce HVAC,"(0.4, 0.5, 0.5)",0.25,42.86,100.0,High
0.7-0.5-0.5,Do Nothing,"(0.7, 0.5, 0.5)",0.0,0.0,0.0,Low
0.7-0.6-0.3,Check Equipment,"(0.5, 0.6, 0.3)",0.2,28.57,100.0,High
0.7-0.6-0.4,Reduce Lighting,"(0.6, 0.6, 0.4)",0.1,14.29,100.0,High
0.7-0.6-0.5,Reduce HVAC,"(0.4, 0.6, 0.6)",0.24,42.86,100.0,High
0.7-0.6-0.6,Reduce HVAC,"(0.4, 0.6, 0.7)",0.24,42.86,100.0,High
0.7-0.7-0.4,Do Nothing,"(0.7, 0.7, 0.4)",0.0,0.0,0.0,Low
0.8-0.0-0.3,Check Equipment,"(0.7, 0.0, 0.3)",0.1,12.5,100.0,High
0.8-0.0-0.4,Check Equipment,"(0.7, 0.0, 0.4)",0.1,12.5,100.0,High
0.8-0.0-0.5,Reduce Lighting,"(0.6, 0.0, 0.5)",0.2,25.0,100.0,High
0.8-0.0-0.6,Reduce Lighting,"(0.6, 0.0, 0.6)",0.2,25.0,100.0,High
0.8-0.0-0.7,Reduce Lighting,"(0.6, 0.0, 0.7)",0.2,25.0,100.0,High
